Radius	Rho	Mass	phi	Temp	Fe	O	Si	Mg	Ni	Ca	Al	S	Cr	Na	P	Mn	C	H	Total	Li
0.000000e+00	2.366506e+00	0.000000e+00	1.785317e+00	7.200000e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
5.000000e-03	2.366467e+00	2.958103e-07	1.785287e+00	7.175133e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.000000e-02	2.366352e+00	2.366413e-06	1.785198e+00	7.150265e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.500000e-02	2.366160e+00	7.986256e-06	1.785051e+00	7.125398e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.000000e-02	2.365891e+00	1.892909e-05	1.784844e+00	7.100531e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.500000e-02	2.365545e+00	3.696764e-05	1.784577e+00	7.075664e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.000000e-02	2.365122e+00	6.387324e-05	1.784252e+00	7.050796e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.500000e-02	2.364622e+00	1.014155e-04	1.783868e+00	7.025929e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
4.000000e-02	2.364046e+00	1.513619e-04	1.783424e+00	7.001062e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
4.500000e-02	2.363393e+00	2.154776e-04	1.782922e+00	6.976194e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
5.000000e-02	2.362662e+00	2.955250e-04	1.782360e+00	6.951327e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
5.500000e-02	2.361855e+00	3.932632e-04	1.781740e+00	6.926460e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
6.000000e-02	2.360971e+00	5.104480e-04	1.781060e+00	6.901593e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
6.500000e-02	2.360011e+00	6.488314e-04	1.780322e+00	6.876725e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
7.000000e-02	2.358973e+00	8.101612e-04	1.779524e+00	6.851858e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
7.500000e-02	2.357858e+00	9.961807e-04	1.778668e+00	6.826991e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
8.000000e-02	2.356667e+00	1.208628e-03	1.777753e+00	6.802123e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
8.500000e-02	2.355399e+00	1.449238e-03	1.776780e+00	6.777256e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
9.000000e-02	2.354053e+00	1.719736e-03	1.775748e+00	6.752389e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
9.500000e-02	2.352631e+00	2.021846e-03	1.774657e+00	6.727521e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
